iter	RMSE
0	1225923.018
1	1219269.271
2	1212879.377
3	1206486.372
4	1200961.759
5	1196038.462
6	1190439.943
7	1184983.272
8	1179632.459
9	1174922.141
10	1170214.182
11	1165797.04
12	1160750.611
13	1156545.394
14	1152326.276
15	1148206.729
16	1143586.682
17	1139908.255
18	1136365.162
19	1132969.803
20	1129671.317
21	1125742.279
22	1122364.382
23	1119775.652
24	1116551.252
25	1113785.099
26	1110423.676
27	1107689.521
28	1105052.874
29	1102592.975
30	1100426.453
31	1097870.191
32	1095324.44
33	1093083.478
34	1090857.978
35	1088824.958
36	1086927.824
37	1084999.528
38	1082938.55
39	1080737.194
40	1078863.9
41	1076815.937
42	1075131.318
43	1073476.022
44	1071588.879
45	1069852.759
46	1068238.79
47	1066604.821
48	1064616.289
49	1062854.938
50	1060759.875
51	1059271.129
52	1057765.825
53	1055949.704
54	1054457.887
55	1053292.239
56	1051990.062
57	1050570.414
58	1049553.419
59	1048156.527
60	1046934.905
61	1045587.389
62	1044570.85
63	1043493.377
64	1042417.042
65	1041276.61
66	1040428.426
67	1039344.099
68	1038506.636
69	1037152.011
70	1036473.728
71	1035396.389
72	1034122.934
73	1033442.785
74	1032249.71
75	1031413.816
76	1030364.991
77	1029438.942
78	1028308.387
79	1027128.708
80	1025828.457
81	1024888.724
82	1024108.845
83	1023333.759
84	1022523.718
85	1021824.869
86	1021174.751
87	1020158.414
88	1019270.428
89	1018282.675
90	1017398.871
91	1016645.854
92	1016013.785
93	1015067.256
94	1014402.428
95	1013534.266
96	1012748.125
97	1011841.735
98	1010914.483
99	1010330.96
100	1009406.557
101	1008222.403
102	1007158.061
103	1006661.909
104	1005923.884
105	1005219.468
106	1004624.291
107	1003875.879
108	1002934.159
109	1002219.45
110	1001688.19
111	1000758.33
112	1000237.185
113	999240.5975
114	998593.908
115	998077.1049
116	997446.517
117	996762.7182
118	995971.2156
119	994955.7328
120	994519.504
121	994116.4582
122	993261.7585
123	992781.7428
124	992333.0863
125	991751.5497
126	991037.3848
127	990434.5672
128	989694.8506
129	989309.1985
130	988771.6229
131	988132.7241
132	987448.495
133	987129.7625
134	986650.8752
135	986261.2882
136	985757.6262
137	984772.6084
138	984190.837
139	983708.9408
140	983505.9411
141	982825.3468
142	982334.7674
143	981856.742
144	981467.2171
145	980864.2592
146	979933.1907
147	979543.6979
148	978676.2255
149	977815.7818
150	977487.949
151	976993.8254
152	976087.3762
153	975314.3697
154	974793.6859
155	974364.6824
156	973644.1216
157	972813.4243
158	972296.6368
159	971947.5811
160	971411.6211
161	970672.0614
162	970408.3414
163	969796.6962
164	969323.8167
165	968885.6698
166	968367.9382
167	967805.9487
168	967375.8385
