iter	Passed	Remaining
0	159	159530
1	186	92872
2	228	76083
3	252	62752
4	267	53205
5	282	46882
6	293	41705
7	303	37676
8	312	34456
9	321	31816
10	331	29841
11	340	28042
12	350	26618
13	360	25367
14	369	24262
15	380	23375
16	388	22469
17	397	21671
18	406	20980
19	415	20358
20	424	19795
21	433	19290
22	442	18794
23	451	18359
24	460	17963
25	471	17645
26	479	17294
27	488	16963
28	497	16666
29	506	16392
30	516	16138
31	525	15892
32	535	15682
33	544	15475
34	553	15266
35	562	15074
36	572	14898
37	581	14719
38	591	14569
39	600	14405
40	610	14269
41	619	14127
42	628	13984
43	637	13848
44	646	13719
45	655	13590
46	667	13526
47	678	13454
48	687	13337
49	696	13238
50	706	13138
51	714	13030
52	724	12940
53	732	12831
54	742	12765
55	751	12665
56	760	12573
57	768	12488
58	777	12397
59	786	12317
60	794	12234
61	805	12180
62	814	12109
63	822	12036
64	832	11970
65	841	11904
66	850	11842
67	859	11783
68	868	11717
69	878	11665
70	886	11599
71	896	11549
72	905	11499
73	914	11441
74	924	11399
75	933	11352
76	943	11312
77	953	11272
78	963	11229
79	973	11197
80	984	11167
81	994	11134
82	1004	11098
83	1015	11069
84	1028	11070
85	1037	11030
86	1047	10991
87	1057	10955
88	1066	10917
89	1075	10872
90	1084	10832
91	1093	10791
92	1102	10750
93	1112	10718
94	1121	10681
95	1130	10642
96	1139	10607
97	1148	10570
98	1158	10541
99	1167	10507
100	1176	10473
101	1186	10442
102	1195	10409
103	1206	10392
104	1217	10379
105	1227	10351
106	1236	10319
107	1245	10289
108	1254	10256
109	1266	10250
110	1276	10220
111	1285	10188
112	1295	10165
113	1304	10135
114	1313	10105
115	1322	10075
116	1331	10046
117	1341	10024
118	1350	9996
119	1359	9970
120	1369	9946
121	1378	9918
122	1387	9893
123	1396	9865
124	1405	9835
125	1414	9810
126	1423	9783
127	1432	9757
128	1441	9735
129	1450	9708
130	1460	9685
131	1468	9656
132	1477	9633
133	1486	9604
134	1495	9579
135	1504	9557
136	1514	9537
137	1523	9514
138	1531	9489
139	1540	9463
140	1549	9440
141	1558	9418
142	1569	9407
143	1579	9386
144	1588	9364
145	1597	9342
146	1606	9320
147	1615	9298
148	1624	9278
149	1633	9256
150	1642	9235
151	1651	9211
152	1659	9188
153	1669	9168
154	1677	9146
155	1686	9125
156	1695	9105
157	1707	9100
158	1716	9081
159	1725	9059
160	1735	9044
161	1744	9024
